Datum,URL,CDU/CSU,SPD,GRÜNE,FDP,LINKE,AfD,FW,BSW,PIR,Sonstige,Befragte,Methode,Umfang
2013-09-29,EMNID,43.0,26.0,7.0,3.0,9.0,6.0,0.0,0.0,0.0,6.0,1.382,"",1382
2013-10-01,FORSA,42.0,25.0,8.0,4.0,9.0,5.0,0.0,0.0,0.0,7.0,2.499,"",2499
2013-10-06,EMNID,42.0,25.0,8.0,4.0,9.0,6.0,0.0,0.0,0.0,6.0,1.849,"",1849
2013-10-09,FORSA,45.0,24.0,8.0,3.0,8.0,6.0,0.0,0.0,0.0,6.0,2.000,"",2000
2013-10-10,DIMAP,42.0,26.0,8.0,3.0,9.0,4.5,0.0,0.0,0.0,7.5,1.503,"",1503
2013-10-13,EMNID,42.0,25.0,9.0,3.0,10.0,6.0,0.0,0.0,0.0,5.0,1.833,"",1833
2013-10-16,FORSA,44.0,24.0,8.0,4.0,8.0,6.0,0.0,0.0,0.0,6.0,2.501,"",2501
2013-10-20,EMNID,42.0,25.0,9.0,3.0,10.0,5.0,0.0,0.0,0.0,6.0,2.334,"",2334
2013-10-23,FORSA,43.0,25.0,8.0,4.0,9.0,5.0,0.0,0.0,0.0,6.0,2.500,"",2500
2013-10-25,DIMAP,40.0,27.0,9.0,4.0,9.0,5.0,0.0,0.0,0.0,6.0,1.028,"",1028
2013-10-27,EMNID,41.0,26.0,10.0,3.0,9.0,5.0,0.0,0.0,0.0,6.0,3.219,"",3219
2013-10-30,FORSA,42.0,24.0,9.0,4.0,9.0,5.0,0.0,0.0,0.0,7.0,2.501,"",2501
2013-11-03,EMNID,42.0,25.0,9.0,3.0,9.0,5.0,0.0,0.0,0.0,7.0,2.768,"",2768
2013-11-06,FORSA,42.0,25.0,9.0,3.0,9.0,5.0,0.0,0.0,0.0,7.0,2.500,"",2500
2013-11-07,DIMAP,42.0,26.0,10.0,3.0,9.0,4.0,0.0,0.0,0.0,6.0,1.520,"",1520
2013-11-10,EMNID,41.0,26.0,10.0,3.0,9.0,5.0,0.0,0.0,0.0,6.0,2.296,"",2296
2013-11-13,FORSA,41.0,24.0,9.0,4.0,10.0,5.0,0.0,0.0,0.0,7.0,2.501,"",2501
2013-11-17,EMNID,41.0,25.0,10.0,3.0,9.0,5.0,0.0,0.0,0.0,7.0,2.765,"",2765
2013-11-20,FORSA,41.0,24.0,10.0,4.0,10.0,5.0,0.0,0.0,0.0,6.0,2.501,"",2501
2013-11-22,DIMAP,42.0,25.0,10.0,3.0,9.0,4.0,0.0,0.0,0.0,7.0,1.006,"",1006
2013-11-24,EMNID,42.0,25.0,10.0,3.0,9.0,5.0,0.0,0.0,0.0,6.0,2.204,"",2204
2013-11-27,FORSA,42.0,23.0,9.0,3.0,10.0,5.0,0.0,0.0,3.0,5.0,2.500,"",2500
2013-12-01,EMNID,41.0,26.0,9.0,4.0,9.0,5.0,0.0,0.0,0.0,6.0,2.389,"",2389
2013-12-04,FORSA,42.0,23.0,10.0,3.0,10.0,5.0,0.0,0.0,0.0,7.0,2.507,"",2507
2013-12-05,DIMAP,43.0,25.0,10.0,3.0,9.0,4.0,0.0,0.0,0.0,6.0,1.523,"",1523
2013-12-08,EMNID,42.0,26.0,9.0,3.0,9.0,5.0,0.0,0.0,0.0,6.0,2.291,"",2291
2013-12-11,FORSA,43.0,24.0,9.0,3.0,10.0,5.0,0.0,0.0,0.0,6.0,2.504,"",2504
2013-12-15,EMNID,42.0,25.0,9.0,4.0,9.0,5.0,0.0,0.0,0.0,6.0,1.901,"",1901
2013-12-17,FORSA,42.0,24.0,9.0,4.0,10.0,5.0,0.0,0.0,0.0,6.0,2.505,"",2505
2013-12-20,DIMAP,42.0,27.0,9.0,4.0,8.0,4.0,0.0,0.0,0.0,6.0,1.000,"",1000
2013-12-22,EMNID,41.0,25.0,9.0,4.0,9.0,5.0,0.0,0.0,0.0,7.0,2.346,"",2346
2014-01-01,FORSA,42.0,24.0,10.0,5.0,10.0,4.0,0.0,0.0,0.0,5.0,2.508,"",2508
2014-01-08,FORSA,41.0,23.0,10.0,5.0,10.0,5.0,0.0,0.0,0.0,6.0,1.003,"",1003
2014-01-09,DIMAP,41.0,27.0,9.0,4.0,8.0,4.0,0.0,0.0,0.0,7.0,1.559,"",1559
2014-01-12,EMNID,42.0,25.0,9.0,4.0,9.0,5.0,0.0,0.0,0.0,6.0,1.402,"",1402
2014-01-15,FORSA,40.0,23.0,10.0,5.0,10.0,5.0,0.0,0.0,0.0,7.0,2.503,"",2503
2014-01-19,EMNID,41.0,26.0,8.0,4.0,10.0,5.0,0.0,0.0,0.0,6.0,2.305,"",2305
2014-01-22,FORSA,41.0,23.0,10.0,5.0,10.0,4.0,0.0,0.0,0.0,7.0,2.502,"",2502
2014-01-26,EMNID,41.0,26.0,9.0,5.0,9.0,4.0,0.0,0.0,0.0,6.0,2.772,"",2772
2014-01-29,FORSA,42.0,23.0,11.0,4.0,9.0,4.0,0.0,0.0,0.0,7.0,2.503,"",2503
2014-01-31,DIMAP,42.0,27.0,9.0,4.0,8.0,4.0,0.0,0.0,0.0,6.0,1.014,"",1014
2014-02-02,EMNID,42.0,25.0,9.0,4.0,10.0,4.0,0.0,0.0,0.0,6.0,2.295,"",2295
2014-02-05,FORSA,42.0,24.0,10.0,4.0,9.0,4.0,0.0,0.0,0.0,7.0,2.501,"",2501
2014-02-06,DIMAP,41.0,27.0,9.0,4.0,9.0,5.0,0.0,0.0,0.0,5.0,1.536,"",1536
2014-02-09,EMNID,42.0,25.0,10.0,4.0,9.0,4.0,0.0,0.0,0.0,6.0,2.301,"",2301
2014-02-12,FORSA,41.0,24.0,10.0,4.0,10.0,4.0,0.0,0.0,0.0,7.0,2.502,"",2502
2014-02-16,EMNID,41.0,24.0,11.0,4.0,10.0,5.0,0.0,0.0,0.0,5.0,2.388,"",2388
2014-02-19,FORSA,40.0,24.0,10.0,4.0,10.0,5.0,0.0,0.0,0.0,7.0,2.502,"",2502
2014-02-23,EMNID,41.0,24.0,10.0,4.0,10.0,5.0,0.0,0.0,0.0,6.0,2.421,"",2421
2014-02-26,FORSA,41.0,22.0,10.0,5.0,10.0,5.0,0.0,0.0,0.0,7.0,2.502,"",2502
2014-02-28,DIMAP,40.0,26.0,10.0,4.0,9.0,5.0,0.0,0.0,0.0,6.0,1.026,"",1026
2014-03-02,EMNID,40.0,24.0,10.0,4.0,10.0,5.0,0.0,0.0,0.0,7.0,2.763,"",2763
2014-03-05,FORSA,40.0,22.0,10.0,4.0,11.0,6.0,0.0,0.0,0.0,7.0,2.500,"",2500
2014-03-06,DIMAP,42.0,24.0,11.0,4.0,9.0,4.0,0.0,0.0,0.0,6.0,1.515,"",1515
2014-03-09,EMNID,42.0,23.0,10.0,3.0,10.0,5.0,0.0,0.0,0.0,7.0,2.304,"",2304
2014-03-12,FORSA,42.0,23.0,9.0,4.0,10.0,5.0,0.0,0.0,0.0,7.0,2.503,"",2503
2014-03-16,EMNID,41.0,24.0,11.0,4.0,10.0,5.0,0.0,0.0,0.0,5.0,2.780,"",2780
2014-03-19,FORSA,42.0,23.0,9.0,4.0,10.0,5.0,0.0,0.0,0.0,7.0,2.500,"",2500
2014-03-23,EMNID,41.0,25.0,10.0,3.0,10.0,5.0,0.0,0.0,0.0,6.0,2.762,"",2762
2014-03-26,FORSA,41.0,23.0,10.0,4.0,10.0,5.0,0.0,0.0,0.0,7.0,2.502,"",2502
2014-03-28,DIMAP,41.0,25.0,10.0,4.0,8.0,5.0,0.0,0.0,0.0,7.0,1.000,"",1000
2014-03-30,EMNID,41.0,25.0,11.0,3.0,10.0,5.0,0.0,0.0,0.0,5.0,2.380,"",2380
2014-04-02,FORSA,42.0,23.0,9.0,4.0,10.0,6.0,0.0,0.0,0.0,6.0,2.501,"",2501
2014-04-03,DIMAP,41.0,26.0,10.0,4.0,9.0,5.0,0.0,0.0,0.0,5.0,1.506,"",1506
2014-04-06,EMNID,41.0,24.0,10.0,3.0,10.0,6.0,0.0,0.0,0.0,6.0,2.271,"",2271
2014-04-09,FORSA,42.0,23.0,10.0,4.0,10.0,5.0,0.0,0.0,0.0,6.0,2.502,"",2502
2014-04-13,EMNID,42.0,23.0,9.0,4.0,10.0,6.0,0.0,0.0,0.0,6.0,2.327,"",2327
2014-04-15,FORSA,41.0,23.0,10.0,4.0,10.0,6.0,0.0,0.0,0.0,6.0,2.501,"",2501
2014-04-20,EMNID,40.0,25.0,10.0,4.0,9.0,6.0,0.0,0.0,0.0,6.0,2.313,"",2313
2014-04-23,FORSA,41.0,24.0,10.0,4.0,10.0,5.0,0.0,0.0,0.0,6.0,2.002,"",2002
2014-04-25,DIMAP,41.0,25.0,10.0,4.0,10.0,5.0,0.0,0.0,0.0,5.0,1.008,"",1008
2014-04-27,EMNID,41.0,24.0,10.0,4.0,10.0,5.0,0.0,0.0,0.0,6.0,1.859,"",1859
2014-04-29,FORSA,41.0,24.0,10.0,4.0,9.0,6.0,0.0,0.0,0.0,6.0,2.002,"",2002
2014-04-30,DIMAP,40.0,26.0,10.0,4.0,9.0,5.0,0.0,0.0,0.0,6.0,1.600,"",1600
2014-05-04,EMNID,40.0,25.0,10.0,4.0,10.0,5.0,0.0,0.0,0.0,6.0,2.203,"",2203
2014-05-07,FORSA,41.0,23.0,10.0,4.0,10.0,5.0,0.0,0.0,0.0,7.0,2.001,"",2001
2014-05-11,EMNID,40.0,25.0,11.0,4.0,9.0,5.0,0.0,0.0,0.0,6.0,2.306,"",2306
2014-05-14,FORSA,40.0,24.0,10.0,4.0,10.0,6.0,0.0,0.0,0.0,6.0,2.504,"",2504
2014-05-16,DIMAP,39.0,26.0,11.0,4.0,9.0,6.0,0.0,0.0,0.0,5.0,1.500,"",1500
2014-05-18,EMNID,39.0,25.0,10.0,5.0,10.0,6.0,0.0,0.0,0.0,5.0,2.791,"",2791
2014-05-21,FORSA,40.0,24.0,10.0,4.0,10.0,6.0,0.0,0.0,0.0,6.0,2.501,"",2501
2014-05-25,EMNID,39.0,24.0,10.0,5.0,10.0,6.0,0.0,0.0,0.0,6.0,2.312,"",2312
2014-05-27,FORSA,40.0,25.0,10.0,4.0,10.0,6.0,0.0,0.0,0.0,5.0,2.503,"",2503
2014-06-01,EMNID,39.0,25.0,10.0,4.0,10.0,6.0,0.0,0.0,0.0,6.0,2.311,"",2311
2014-06-04,FORSA,38.0,23.0,10.0,4.0,10.0,8.0,0.0,0.0,0.0,7.0,2.002,"",2002
2014-06-05,DIMAP,38.0,26.0,11.0,4.0,9.0,7.0,0.0,0.0,0.0,5.0,1.504,"",1504
2014-06-08,EMNID,39.0,25.0,10.0,3.0,10.0,7.0,0.0,0.0,0.0,6.0,2.299,"",2299
2014-06-11,FORSA,39.0,23.0,9.0,4.0,10.0,8.0,0.0,0.0,0.0,7.0,2.501,"",2501
2014-06-15,EMNID,39.0,25.0,11.0,4.0,10.0,6.0,0.0,0.0,0.0,5.0,2.311,"",2311
2014-06-17,FORSA,39.0,23.0,10.0,4.0,10.0,7.0,0.0,0.0,0.0,7.0,2.001,"",2001
2014-06-20,DIMAP,39.0,25.0,12.0,4.0,8.0,6.0,0.0,0.0,0.0,6.0,1.000,"",1000
2014-06-22,EMNID,39.0,25.0,10.0,4.0,9.0,7.0,0.0,0.0,0.0,6.0,1.845,"",1845
2014-06-25,FORSA,41.0,23.0,10.0,4.0,9.0,7.0,0.0,0.0,0.0,6.0,2.504,"",2504
2014-06-29,EMNID,40.0,25.0,10.0,3.0,9.0,7.0,0.0,0.0,0.0,6.0,2.287,"",2287
2014-07-02,FORSA,41.0,23.0,10.0,4.0,9.0,7.0,0.0,0.0,0.0,6.0,2.502,"",2502
2014-07-03,DIMAP,39.0,26.0,11.0,4.0,9.0,5.0,0.0,0.0,0.0,6.0,1.505,"",1505
2014-07-06,EMNID,40.0,25.0,10.0,3.0,9.0,6.0,0.0,0.0,0.0,7.0,2.287,"",2287
2014-07-09,FORSA,41.0,23.0,11.0,3.0,9.0,6.0,0.0,0.0,0.0,7.0,2.014,"",2014
2014-07-13,EMNID,40.0,25.0,11.0,3.0,9.0,5.0,0.0,0.0,0.0,7.0,2.258,"",2258
2014-07-16,FORSA,41.0,23.0,11.0,3.0,9.0,6.0,0.0,0.0,0.0,7.0,2.503,"",2503
2014-07-18,DIMAP,40.0,26.0,10.0,4.0,10.0,4.0,0.0,0.0,0.0,6.0,1.008,"",1008
2014-07-20,EMNID,40.0,26.0,10.0,3.0,9.0,5.0,0.0,0.0,0.0,7.0,2.414,"",2414
