Datum,URL,Umfang,Methode,Partei,Anteil
2013-09-29,EMNID,1382,"",CDU/CSU,43.0
2013-10-01,FORSA,2499,"",CDU/CSU,42.0
2013-10-06,EMNID,1849,"",CDU/CSU,42.0
2013-10-09,FORSA,2000,"",CDU/CSU,45.0
2013-10-10,DIMAP,1503,"",CDU/CSU,42.0
2013-10-13,EMNID,1833,"",CDU/CSU,42.0
2013-10-16,FORSA,2501,"",CDU/CSU,44.0
2013-10-20,EMNID,2334,"",CDU/CSU,42.0
2013-10-23,FORSA,2500,"",CDU/CSU,43.0
2013-10-25,DIMAP,1028,"",CDU/CSU,40.0
2013-10-27,EMNID,3219,"",CDU/CSU,41.0
2013-10-30,FORSA,2501,"",CDU/CSU,42.0
2013-11-03,EMNID,2768,"",CDU/CSU,42.0
2013-11-06,FORSA,2500,"",CDU/CSU,42.0
2013-11-07,DIMAP,1520,"",CDU/CSU,42.0
2013-11-10,EMNID,2296,"",CDU/CSU,41.0
2013-11-13,FORSA,2501,"",CDU/CSU,41.0
2013-11-17,EMNID,2765,"",CDU/CSU,41.0
2013-11-20,FORSA,2501,"",CDU/CSU,41.0
2013-11-22,DIMAP,1006,"",CDU/CSU,42.0
2013-11-24,EMNID,2204,"",CDU/CSU,42.0
2013-11-27,FORSA,2500,"",CDU/CSU,42.0
2013-12-01,EMNID,2389,"",CDU/CSU,41.0
2013-12-04,FORSA,2507,"",CDU/CSU,42.0
2013-12-05,DIMAP,1523,"",CDU/CSU,43.0
2013-12-08,EMNID,2291,"",CDU/CSU,42.0
2013-12-11,FORSA,2504,"",CDU/CSU,43.0
2013-12-15,EMNID,1901,"",CDU/CSU,42.0
2013-12-17,FORSA,2505,"",CDU/CSU,42.0
2013-12-20,DIMAP,1000,"",CDU/CSU,42.0
2013-12-22,EMNID,2346,"",CDU/CSU,41.0
2014-01-01,FORSA,2508,"",CDU/CSU,42.0
2014-01-08,FORSA,1003,"",CDU/CSU,41.0
2014-01-09,DIMAP,1559,"",CDU/CSU,41.0
2014-01-12,EMNID,1402,"",CDU/CSU,42.0
2014-01-15,FORSA,2503,"",CDU/CSU,40.0
2014-01-19,EMNID,2305,"",CDU/CSU,41.0
2014-01-22,FORSA,2502,"",CDU/CSU,41.0
2014-01-26,EMNID,2772,"",CDU/CSU,41.0
2014-01-29,FORSA,2503,"",CDU/CSU,42.0
2014-01-31,DIMAP,1014,"",CDU/CSU,42.0
2014-02-02,EMNID,2295,"",CDU/CSU,42.0
2014-02-05,FORSA,2501,"",CDU/CSU,42.0
2014-02-06,DIMAP,1536,"",CDU/CSU,41.0
2014-02-09,EMNID,2301,"",CDU/CSU,42.0
2014-02-12,FORSA,2502,"",CDU/CSU,41.0
2014-02-16,EMNID,2388,"",CDU/CSU,41.0
2014-02-19,FORSA,2502,"",CDU/CSU,40.0
